4651
b0191	b0191	protein_coding
b0192	b0192	protein_coding
b0193	b0193	protein_coding
b0194	b0194	protein_coding
b0195	b0195	protein_coding
b0196	b0196	protein_coding
b0197	b0197	protein_coding
b0198	b0198	protein_coding
b0199	b0199	protein_coding
b0200	b0200	protein_coding
b0201	b0201	rRNA
b0202	b0202	tRNA
b0203	b0203	tRNA
b0204	b0204	rRNA
b0205	b0205	rRNA
b0206	b0206	tRNA
b0207	b0207	protein_coding
b0208	b0208	protein_coding
b0209	b0209	protein_coding
b0210	b0210	protein_coding
b0211	b0211	protein_coding
b0212	b0212	protein_coding
b4815	b4815	protein_coding
b0213	b0213	protein_coding
b0214	b0214	protein_coding
b0215	b0215	protein_coding
b0216	b0216	tRNA
b0217	b0217	protein_coding
b4586	b4586	protein_coding
b0218	b0218	pseudogene
b4503	b4503	pseudogene
b0219	b0219	protein_coding
b0220	b0220	protein_coding
b0221	b0221	protein_coding
b0222	b0222	protein_coding
b0223	b0223	protein_coding
b0224	b0224	protein_coding
b0225	b0225	protein_coding
b0226	b0226	protein_coding
b0227	b0227	protein_coding
b0228	b0228	protein_coding
b0229	b0229	pseudogene
b0230	b0230	pseudogene
b0231	b0231	protein_coding
b0232	b0232	protein_coding
b0233	b0233	protein_coding
b0234	b0234	protein_coding
b0235	b0235	pseudogene
b0236	b0236	pseudogene
b0237	b0237	protein_coding
b0238	b0238	protein_coding
b0239	b0239	protein_coding
b0240	b0240	pseudogene
b4710	b4710	protein_coding
b4709	b4709	protein_coding
b0241	b0241	protein_coding
b0242	b0242	protein_coding
b0243	b0243	protein_coding
b0244	b0244	tRNA
b4626	b4626	pseudogene
b0245	b0245	protein_coding
b0246	b0246	protein_coding
b4504	b4504	protein_coding
b0247	b0247	protein_coding
b0248	b0248	protein_coding
b0249	b0249	protein_coding
b0250	b0250	protein_coding
b0251	b0251	protein_coding
b4627	b4627	pseudogene
b4628	b4628	pseudogene
b0252	b0252	protein_coding
b0253	b0253	protein_coding
b0254	b0254	protein_coding
b4587	b4587	pseudogene
b0256	b0256	protein_coding
b4690	b4690	ncRNA
b0258	b0258	protein_coding
b0259	b0259	protein_coding
b0260	b0260	protein_coding
b0261	b0261	protein_coding
b0262	b0262	protein_coding
b0263	b0263	pseudogene
b0264	b0264	protein_coding
b0265	b0265	protein_coding
b4708	b4708	pseudogene
b4505	b4505	pseudogene
b0266	b0266	protein_coding
b0267	b0267	protein_coding
b0268	b0268	protein_coding
b0269	b0269	protein_coding
b0270	b0270	protein_coding
b0271	b0271	protein_coding
b0272	b0272	protein_coding
b0273	b0273	protein_coding
b4766	b4766	protein_coding
b4688	b4688	protein_coding
b0274	b0274	protein_coding
b0275	b0275	protein_coding
b0276	b0276	protein_coding
b0277	b0277	protein_coding
b0278	b0278	protein_coding
b0279	b0279	protein_coding
b4729	b4729	protein_coding
b0280	b0280	protein_coding
b0281	b0281	protein_coding
b0282	b0282	protein_coding
b0283	b0283	protein_coding
b0284	b0284	protein_coding
b0285	b0285	protein_coding
b0286	b0286	protein_coding
b0287	b0287	protein_coding
b0288	b0288	protein_coding
b0289	b0289	protein_coding
b0290	b0290	protein_coding
b0291	b0291	protein_coding
b0292	b0292	protein_coding
b0293	b0293	protein_coding
b0294	b0294	protein_coding
b0295	b0295	protein_coding
b4506	b4506	protein_coding
b0296	b0296	protein_coding
b4671	b4671	protein_coding
b4630	b4630	pseudogene
b0297	b0297	pseudogene
b0298	b0298	protein_coding
b0299	b0299	protein_coding
b0300	b0300	pseudogene
b4631	b4631	pseudogene
b0301	b0301	protein_coding
b0303	b0303	protein_coding
b0304	b0304	protein_coding
